Comp,BID,UMAP_0,UMAP_1,rg_var_true,rg_var_pred,rg_var_std
0.15,0.8,11.250781,5.066471,8.938124224501292,0.13957738668818162,3.2010944384910407
0.1,0.4,12.843269,2.8897893,3.9960493006271345,3.370848158239164,1.6467869898281355
0.2,0.8,12.391927,4.286795,4.13792133576265,5.4991295342304864,2.590702742810296
0.1,0.6,12.510074,1.7195168,8.152126992573184,3.899196822925397,1.9867658952165608
0.15,0.4,9.548967,4.507296,6.7709651259260015,1.8876207229369892,2.482256505499831
0.1,0.4,12.815116,3.2388027,2.5810739425205123,2.3325333682449894,2.7926052608288736
0.1,0.2,12.823741,3.4602036,2.0629406252338898,0.8300013227404577,2.537512754351348
0.3,0.8,12.615503,1.8605714,2.7662357176087413,0.9530890998187669,2.4270201579658552
0.25,0.8,12.604877,3.626605,4.531910943260482,2.005655038672321,2.970824595226566
0.3,0.8,8.823957,2.3001246,3.1622616546132902,0.3631219384889892,3.1219862273490806
0.4,0.8,11.971588,4.472023,1.875834871762387,-1.3819171499178982,2.300698462637619
0.1,0.6,12.775433,3.3912187,8.062144125754577,2.004881235196705,2.712906882059051
0.4,0.6,9.112175,3.907548,1.1054896519618391,0.4156015441271367,2.151949731394047
0.2,0.4,12.804172,3.0686135,2.3747403324594423,1.4554402301652498,2.865654867626017
0.25,0.2,12.510889,3.8106842,1.112226885092634,1.5758980138799916,2.6460532241324666
0.3,0.2,12.661626,3.5777802,0.8935447463767278,1.105875449928003,2.4750084516263446
0.4,0.2,9.014854,1.8393317,1.3054637256478347,1.0095567737381321,1.0950963788823578
0.25,0.4,12.661251,2.9724195,2.5023037166315403,4.695888744154708,2.017071073261285
0.2,0.4,12.727208,3.5251265,5.283725927141359,1.1776458447227514,2.841995261272227
0.3,0.2,8.91485,1.9550416,1.012414408721809,0.25721331782754847,3.1699881711742983
0.2,0.2,12.850883,2.17777,3.3412389547144477,0.7871315540475958,1.5942688084708483
0.4,0.4,12.518609,3.7092886,0.9335887862978199,0.19344464231483216,2.666634805018243
0.6,0.8,-9.095927,6.0823097,0.5014520812001484,2.397874389221414,0.7480070787206753
0.3,0.2,9.267267,3.9059856,1.2074262795067978,0.1558108266544132,3.1971579075489607
0.4,0.2,9.174959,4.010139,0.5413253686897214,0.0020476837094952276,3.201531602330368
0.6,0.4,-10.098592,5.6313386,1.1894348695318215,-0.12809715050639764,2.8050845335418035
0.25,0.6,9.236001,4.17987,3.0602035799981104,0.4156444826630588,2.9707882636985308
0.8,0.6,-9.727497,5.5686,0.5815379694398751,-0.00956029766581205,3.2009938859052607
0.4,0.8,12.673968,3.5480525,1.6156949387794541,0.4451672097646171,2.681191119067158
0.1,0.6,11.153119,1.0440053,4.003480440891756,0.4137441994954369,3.182046768322526
0.25,0.8,11.122347,0.8110383,2.922355131070048,1.1348854140790774,3.102840733977478
0.2,0.8,12.783079,2.8358982,3.810874340777785,7.2429133477029595,2.5214306208788435
0.25,0.8,12.557443,1.6359,2.964644644877921,4.423632667891452,2.9773234443086802
0.1,0.6,8.715085,2.4727352,5.030070716922589,0.776906491066303,2.874328497746133
0.3,0.6,8.88002,1.9012154,1.9847905861040298,2.5037033393745634,2.6731624082501333
0.25,0.6,10.458219,0.83255714,2.6533095945569967,0.2429148348140457,3.1932213499002624
0.1,0.6,9.413003,4.0365243,7.604716523527032,1.6613277212415192,3.1334136569947755
0.3,0.2,10.259621,4.8643694,0.8105312769083513,1.955635781952287e-05,3.201540636802345
0.6,0.6,-8.830723,6.60014,0.49992194377292976,0.789347303122911,2.1964891677199883
0.2,0.6,12.509481,1.8233383,3.372927081274478,0.38181290589566186,3.18997825691044
0.6,0.2,-10.878547,6.298003,0.38192468098601123,0.8580022123096889,1.9755934213599593
0.1,0.8,11.846708,4.6497874,7.075953668537902,0.38174721300345527,3.194222366338135
0.6,0.2,-9.899957,5.604015,0.7180591019364168,-0.2412537748180275,3.1615454464458526
0.6,0.6,-10.822648,6.1019096,0.2617378718977809,0.2960886930253089,2.2399899675311183
0.1,0.8,12.924609,2.7237582,9.584119115172658,4.266221848293624,2.6469205000553346
0.4,0.4,11.734237,4.8295884,0.9117570097924252,7.316841028981366e-06,3.201540623924965
0.8,0.8,-10.48183,7.4756484,0.4141001991953513,0.027187980599365558,1.6358514309404213
0.8,0.6,-8.850601,6.552498,0.35358765251957175,0.5367818293767799,1.3055781257077383
